studieprogramkode;studieprogramnavn;arstall_kull;terminkode_kull;arstall_und;terminkode_und;arstall_eks;terminkode_eks;studentnr;karakter;vurdresstatnavn
BIDAT;Bachelor i ingeniørfag - data;2017;HØST;2016;VÅR;2016;VÅR;770209;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2007;HØST;2010;VÅR;2010;VÅR;698856;;Ikke møtt
BIT;Informatikk - bachelorstudium;2008;HØST;2008;VÅR;2008;VÅR;451593;A;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;722046;;Manglende øvinger
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730554;D;Bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2012;VÅR;2012;VÅR;730549;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2011;HØST;2015;VÅR;2015;VÅR;730493;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;718721;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739407;C;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2015;VÅR;2015;VÅR;730786;;Legeattest
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739430;B;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739440;B;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739402;D;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739472;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;694574;;Ikke møtt
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739420;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;738861;A;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;721519;D;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739409;C;Bestått
BIT;Informatikk - bachelorstudium;2012;HØST;2013;VÅR;2013;VÅR;739436;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;746224;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751425;E;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751410;;Ikke møtt
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751411;;Trekk under eksamen (Avbrutt eksamen)
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751367;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751371;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751326;B;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751444;B;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751387;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751420;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;740873;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;747549;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;751360;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751380;F;Ikke bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751388;C;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2015;VÅR;2015;VÅR;751355;D;Bestått
BIT;Informatikk - bachelorstudium;2013;HØST;2014;VÅR;2014;VÅR;751443;C;Bestått
