programkode,studentnr,karakter,vurderingsstatus,year,semester
BIT,476720,C,Bestått,2017,v
BIT,476721,A,Bestått,2017,v
BIT,476722,F,Ikke bestått,2017,v
BIT,476723,E,Bestått,2017,v
BIT,476724,A,Bestått,2017,v
BIT,476725,C,Bestått,2017,v
BIT,476726,C,Bestått,2017,v
BIT,476727,C,Bestått,2017,v
BIT,476728,B,Bestått,2017,v
BIT,476730,C,Bestått,2017,v
BIT,476731,F,Ikke bestått,2017,v
BIT,476731,E,Bestått,2018,v
BIT,476732,F,Ikke bestått,2017,v
BIT,476732,F,Ikke bestått,2017,s
BIT,476733,C,Bestått,2017,v
BIT,476734,C,Bestått,2017,v
BIT,476735,B,Bestått,2017,v
BIT,476736,C,Bestått,2017,v
BIT,476736,,Ikke møtt,2018,v
BIT,476737,,Trekk under eksamen (Avbrutt eksamen),2017,v
BIT,476738,F,Ikke bestått,2017,v
BIT,476738,F,Ikke bestått,2018,v
BIT,476739,D,Bestått,2017,v
BIT,476740,C,Bestått,2017,v
BIT,476740,B,Bestått,2018,v
BIT,476741,F,Ikke bestått,2017,v
BIT,476741,F,Ikke bestått,2018,v
BIT,476742,B,Bestått,2017,v
BIT,476743,C,Bestått,2017,v
BIT,476744,C,Bestått,2017,v
BIT,476745,F,Ikke bestått,2017,v
BIT,476745,,Ikke møtt,2017,s
BIT,476745,F,Ikke bestått,2018,v
BIT,476746,F,Ikke bestått,2017,v
BIT,476746,E,Bestått,2018,v
BIT,476747,F,Ikke bestått,2017,v
BIT,476747,F,Ikke bestått,2017,s
BIT,476748,B,Bestått,2017,v
BIT,476749,C,Bestått,2017,v
BIT,476750,A,Bestått,2017,v
BIT,476751,A,Bestått,2017,v
BIT,476752,C,Bestått,2017,v
BIT,476753,C,Bestått,2017,v
BIT,476753,A,Bestått,2018,v
BIT,476754,C,Bestått,2017,v
BIT,476755,C,Bestått,2017,v
BIT,476756,B,Bestått,2017,v
BIT,476757,E,Bestått,2017,v
BIT,476757,,Trekk under eksamen (Avbrutt eksamen),2018,v
BIT,476758,C,Bestått,2017,v
BIT,476759,,Trekk under eksamen (Avbrutt eksamen),2017,v
BIT,476760,B,Bestått,2017,v
BIT,476760,A,Bestått,2018,v
BIT,476762,C,Bestått,2017,v
BIT,476763,,Manglende øvinger,2017,v
BIT,476764,C,Bestått,2017,v
BIT,476764,C,Bestått,2018,v
BIT,476765,D,Bestått,2017,v
BIT,476765,C,Bestått,2018,v
BIT,476766,F,Ikke bestått,2017,v
BIT,476766,F,Ikke bestått,2018,v
BIT,476766,F,Ikke bestått,2018,s
BIT,476768,F,Ikke bestått,2017,v
BIT,476768,F,Ikke bestått,2017,s
BIT,476768,F,Ikke bestått,2018,v
BIT,476770,C,Bestått,2017,v
BIT,476771,F,Ikke bestått,2017,v
BIT,476771,F,Ikke bestått,2017,s
BIT,476772,E,Bestått,2018,v
BIT,477579,,Legeattest,2017,v
BIT,477579,,Trekk under eksamen (Avbrutt eksamen),2018,v
BIT,477773,A,Bestått,2018,v
BIT,479825,C,Bestått,2017,v
BIT,479825,C,Bestått,2018,v
BIT,481935,B,Bestått,2018,v
BIT,485525,D,Bestått,2018,v
BIT,486769,D,Bestått,2018,v
BIT,486832,F,Ikke bestått,2018,v
BIT,486933,D,Bestått,2018,v
BIT,487814,D,Bestått,2018,v
BIT,488659,D,Bestått,2018,v
BIT,489180,F,Ikke bestått,2018,v
BIT,489733,B,Bestått,2018,v
BIT,490119,C,Bestått,2018,v
BIT,491407,D,Bestått,2018,v
BIT,492757,F,Ikke bestått,2018,v
BIT,492764,D,Bestått,2018,v
BIT,493374,C,Bestått,2018,v
BIT,493375,C,Bestått,2018,v
BIT,493377,A,Bestått,2018,v
BIT,493378,,Ikke møtt,2018,v
BIT,493379,C,Bestått,2018,v
BIT,493380,D,Bestått,2018,v
BIT,493382,,Ikke møtt,2018,v
BIT,493385,A,Bestått,2018,v
BIT,493386,B,Bestått,2018,v
BIT,493387,E,Bestått,2018,v
BIT,493388,C,Bestått,2018,v
BIT,493389,C,Bestått,2018,v
BIT,493390,A,Bestått,2018,v
BIT,493392,B,Bestått,2018,v
BIT,493393,C,Bestått,2018,v
BIT,493394,B,Bestått,2018,v
BIT,493395,D,Bestått,2018,v
BIT,493396,E,Bestått,2018,v
BIT,493397,D,Bestått,2018,v
BIT,493398,D,Bestått,2018,v
BIT,493399,F,Ikke bestått,2018,v
BIT,493399,B,Bestått,2018,s
BIT,493400,A,Bestått,2018,v
BIT,493403,E,Bestått,2018,v
BIT,493404,D,Bestått,2018,v
BIT,493405,E,Bestått,2018,v
BIT,493406,E,Bestått,2018,v
BIT,493407,D,Bestått,2018,v
BIT,493408,E,Bestått,2018,v
BIT,493409,D,Bestått,2018,v
BIT,493411,B,Bestått,2018,v
BIT,493412,C,Bestått,2018,v
BIT,493413,B,Bestått,2018,v
BIT,493415,C,Bestått,2018,v
BIT,493416,F,Ikke bestått,2018,v
BIT,493416,,Ikke møtt,2018,s
BIT,493417,F,Ikke bestått,2018,v
BIT,493418,B,Bestått,2018,v
BIT,493420,D,Bestått,2018,v
BIT,493422,C,Bestått,2018,v
BIT,493423,B,Bestått,2018,v
BIT,493424,,Ikke møtt,2018,v
BIT,493425,E,Bestått,2018,v
BIT,493426,E,Bestått,2018,v
BIT,493427,C,Bestått,2018,v
BIT,493428,C,Bestått,2018,v
BIT,493429,F,Ikke bestått,2018,v
BIT,493431,D,Bestått,2018,v
BIT,493433,C,Bestått,2018,v
BIT,493434,E,Bestått,2018,v
BIT,493435,B,Bestått,2018,v
BIT,493436,E,Bestått,2018,v
BIT,493437,E,Bestått,2018,v
BIT,493439,E,Bestått,2018,v
BIT,493440,F,Ikke bestått,2018,v
BIT,493440,F,Ikke bestått,2018,s
BIT,493441,F,Ikke bestått,2018,v
BIT,493442,B,Bestått,2018,v
BIT,493444,D,Bestått,2018,v
BIT,493445,D,Bestått,2018,v
BIT,493446,E,Bestått,2018,v
BIT,493447,D,Bestått,2018,v
BIT,494272,E,Bestått,2018,v
BIT,494278,D,Bestått,2018,v
BIT,494976,,Trekk under eksamen (Avbrutt eksamen),2018,v
BIT,494976,F,Ikke bestått,2018,s
