programkode,studentnr,karakter,vurderingsstatus,year,semester
BIT,713718,F,Ikke bestått,2010,v
BIT,713718,F,Ikke bestått,2010,s
BIT,713718,E,Bestått,2011,v
BIT,713718,E,Bestått,2012,v
BIT,713719,C,Bestått,2010,v
BIT,713719,B,Bestått,2013,v
BIT,713720,B,Bestått,2010,v
BIT,713721,E,Bestått,2010,v
BIT,713723,B,Bestått,2010,v
BIT,713724,C,Bestått,2010,v
BIT,713726,E,Bestått,2010,v
BIT,713726,D,Bestått,2011,v
BIT,713727,E,Bestått,2010,v
BIT,713727,C,Bestått,2011,v
BIT,713728,D,Bestått,2010,v
BIT,713729,D,Bestått,2010,v
BIT,713730,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,713730,F,Ikke bestått,2010,s
BIT,713731,D,Bestått,2010,v
BIT,713732,A,Bestått,2010,v
BIT,713734,,Manglende øvinger,2010,v
BIT,713735,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,713735,D,Bestått,2011,v
BIT,713735,C,Bestått,2013,v
BIT,713736,C,Bestått,2010,v
BIT,713736,,Ikke møtt,2012,v
BIT,713737,,Manglende øvinger,2010,v
BIT,713737,,Ikke møtt,2011,v
BIT,713737,C,Bestått,2012,v
BIT,713739,,Manglende øvinger,2010,v
BIT,713741,B,Bestått,2010,v
BIT,713743,B,Bestått,2010,v
BIT,713745,,Manglende øvinger,2010,v
BIT,713745,F,Ikke bestått,2011,v
BIT,713745,F,Ikke bestått,2012,v
BIT,713745,E,Bestått,2013,v
BIT,713746,D,Bestått,2010,v
BIT,713746,C,Bestått,2011,v
BIT,713748,E,Bestått,2010,v
BIT,713749,C,Bestått,2010,v
BIT,713750,E,Bestått,2012,v
BIT,713750,E,Bestått,2014,v
BIT,713751,C,Bestått,2010,v
BIT,713752,B,Bestått,2010,v
BIT,713753,,Manglende øvinger,2010,v
BIT,713753,,Trekk under eksamen (Avbrutt eksamen),2013,v
BIT,713753,F,Ikke bestått,2013,s
BIT,713753,B,Bestått,2014,v
BIT,713754,,Ikke møtt,2010,v
BIT,713755,,Manglende øvinger,2010,v
BIT,713755,C,Bestått,2011,v
BIT,713756,C,Bestått,2010,v
BIT,713757,C,Bestått,2010,v
BIT,713757,C,Bestått,2011,v
BIT,713758,D,Bestått,2010,v
BIT,713758,B,Bestått,2013,v
BIT,713787,F,Ikke bestått,2011,v
BIT,713787,,Ikke møtt,2011,s
BIT,713787,E,Bestått,2013,v
BIT,713941,C,Bestått,2011,v
BIT,713995,B,Bestått,2013,v
BIT,714241,C,Bestått,2014,v
BIT,714289,B,Bestått,2012,v
BIT,714844,C,Bestått,2010,v
BIT,714972,E,Bestått,2010,v
BIT,714972,C,Bestått,2015,v
BIT,715070,,Manglende øvinger,2013,v
BIT,715582,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,715582,F,Ikke bestått,2011,v
BIT,715582,F,Ikke bestått,2011,s
BIT,715582,,Gyldig fravær,2012,v
BIT,715582,,Ikke møtt,2012,s
BIT,715582,D,Bestått,2013,v
BIT,715592,,Trekk under eksamen (Avbrutt eksamen),2010,v
BIT,715592,E,Bestått,2011,v
BIT,715604,B,Bestått,2010,v
BIT,715620,,Manglende øvinger,2010,v
BIT,715620,C,Bestått,2011,v
BIT,715651,,Trekk under eksamen (Avbrutt eksamen),2012,v
BIT,715651,F,Ikke bestått,2013,v
BIT,715651,F,Ikke bestått,2013,s
BIT,715651,F,Ikke bestått,2014,v
BIT,716379,,Manglende øvinger,2016,v
BIT,716379,,Manglende øvinger,2017,v
BIT,716455,F,Ikke bestått,2018,v
BIT,717975,B,Bestått,2011,v
BIT,718721,,Manglende øvinger,2013,v
BIT,718721,F,Ikke bestått,2015,v
BIT,718721,,Trekk under eksamen (Avbrutt eksamen),2016,v
BIT,718721,,Trekk under eksamen (Avbrutt eksamen),2016,s
BIT,718721,F,Ikke bestått,2017,v
BIT,718721,F,Ikke bestått,2017,s
BIT,721118,F,Ikke bestått,2011,v
BIT,721118,,Trekk under eksamen (Avbrutt eksamen),2011,s
BIT,721478,F,Ikke bestått,2016,v
BIT,721478,,Trekk under eksamen (Avbrutt eksamen),2016,s
BIT,721478,C,Bestått,2017,v
BIT,721519,D,Bestått,2012,v
BIT,721519,D,Bestått,2016,v
BIT,721559,F,Ikke bestått,2014,v
BIT,721559,E,Bestått,2015,v
BIT,721704,,Trekk under eksamen (Avbrutt eksamen),2016,v
BIT,721704,F,Ikke bestått,2016,s
BIT,721704,,Trekk under eksamen (Avbrutt eksamen),2018,v
BIT,721704,F,Ikke bestått,2018,s
BIT,721881,D,Bestått,2011,v
BIT,721883,F,Ikke bestått,2011,v
BIT,721883,C,Bestått,2011,s
BIT,721887,D,Bestått,2011,v
BIT,721887,B,Bestått,2013,v
BIT,721897,D,Bestått,2011,v
BIT,721897,D,Bestått,2014,v
BIT,721898,C,Bestått,2011,v
BIT,721908,F,Ikke bestått,2011,v
BIT,721908,E,Bestått,2012,v
BIT,721908,E,Bestått,2014,v
BIT,721913,B,Bestått,2013,v
BIT,721914,D,Bestått,2011,v
BIT,721915,E,Bestått,2011,v
BIT,721915,B,Bestått,2013,v
BIT,721917,C,Bestått,2011,v
BIT,721918,B,Bestått,2011,v
BIT,721919,C,Bestått,2011,v
BIT,721919,,Gyldig fravær,2012,v
BIT,721919,A,Bestått,2012,s
BIT,721921,C,Bestått,2011,v
BIT,721923,C,Bestått,2011,v
BIT,721923,A,Bestått,2013,v
BIT,721926,C,Bestått,2011,v
BIT,721927,E,Bestått,2011,v
BIT,721930,,Manglende øvinger,2011,v
BIT,721930,,Manglende øvinger,2012,v
BIT,721930,,Manglende øvinger,2013,v
BIT,721931,F,Ikke bestått,2011,v
BIT,721931,,Ikke møtt,2012,v
BIT,721933,E,Bestått,2011,v
BIT,721934,E,Bestått,2011,v
BIT,721934,F,Ikke bestått,2014,v
BIT,721935,,Manglende øvinger,2011,v
BIT,721935,C,Bestått,2012,v
BIT,721937,C,Bestått,2011,v
BIT,721938,D,Bestått,2011,v
BIT,721939,D,Bestått,2011,v
BIT,721942,B,Bestått,2011,v
BIT,721944,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,721944,F,Ikke bestått,2012,v
BIT,721944,C,Bestått,2013,v
BIT,721945,,Manglende øvinger,2011,v
BIT,721945,C,Bestått,2012,v
BIT,721946,C,Bestått,2011,v
BIT,721946,C,Bestått,2012,v
BIT,721947,C,Bestått,2011,v
BIT,721948,,Manglende øvinger,2011,v
BIT,721948,D,Bestått,2012,v
BIT,721949,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,721950,,Manglende øvinger,2011,v
BIT,721951,A,Bestått,2011,v
BIT,721952,C,Bestått,2011,v
BIT,721952,C,Bestått,2013,v
BIT,721953,F,Ikke bestått,2011,v
BIT,721954,D,Bestått,2011,v
BIT,721955,E,Bestått,2011,v
BIT,721955,C,Bestått,2012,v
BIT,721956,E,Bestått,2011,v
BIT,721956,C,Bestått,2012,v
BIT,721958,E,Bestått,2011,v
BIT,721958,D,Bestått,2013,v
BIT,721960,C,Bestått,2011,v
BIT,721960,C,Bestått,2014,v
BIT,721961,B,Bestått,2011,v
BIT,721961,B,Bestått,2013,v
BIT,721962,,Manglende øvinger,2011,v
BIT,721965,C,Bestått,2011,v
BIT,721966,E,Bestått,2012,v
BIT,721966,C,Bestått,2014,v
BIT,721968,C,Bestått,2011,v
BIT,721969,D,Bestått,2011,v
BIT,721971,,Manglende øvinger,2011,v
BIT,721971,D,Bestått,2013,v
BIT,721972,B,Bestått,2011,v
BIT,721973,B,Bestått,2012,v
BIT,721974,B,Bestått,2011,v
BIT,721974,B,Bestått,2013,v
BIT,721976,B,Bestått,2011,v
BIT,721977,B,Bestått,2011,v
BIT,721978,,Trekk under eksamen (Avbrutt eksamen),2011,v
BIT,721978,F,Ikke bestått,2011,s
BIT,721978,F,Ikke bestått,2012,v
BIT,721978,C,Bestått,2013,v
BIT,721979,,Gyldig fravær,2011,v
BIT,721979,,Ikke møtt,2011,s
BIT,721979,D,Bestått,2012,v
BIT,721979,B,Bestått,2013,v
BIT,721980,F,Ikke bestått,2011,v
BIT,721981,D,Bestått,2011,v
BIT,721981,C,Bestått,2015,v
BIT,721982,F,Ikke bestått,2011,v
BIT,721982,,Trekk under eksamen (Avbrutt eksamen),2012,v
BIT,721982,E,Bestått,2012,s
BIT,721982,B,Bestått,2013,v
BIT,721983,F,Ikke bestått,2011,v
BIT,721983,,Ikke møtt,2015,v
BIT,721987,E,Bestått,2011,v
BIT,721987,C,Bestått,2013,v
BIT,721988,C,Bestått,2011,v
BIT,721991,D,Bestått,2011,v
BIT,721991,C,Bestått,2013,v
BIT,721993,F,Ikke bestått,2011,v
BIT,721993,F,Ikke bestått,2011,s
BIT,721993,D,Bestått,2013,v
BIT,721995,C,Bestått,2011,v
BIT,721996,C,Bestått,2011,v
BIT,721996,B,Bestått,2013,v
BIT,722046,,Manglende øvinger,2011,v
BIT,722046,,Manglende øvinger,2012,v
BIT,722046,,Manglende øvinger,2013,v
BIT,722046,,Manglende øvinger,2016,v
BIT,722331,F,Ikke bestått,2018,v
BIT,722357,,Manglende øvinger,2012,v
BIT,722357,,Manglende øvinger,2013,v
BIT,722357,,Manglende øvinger,2014,v
BIT,722687,E,Bestått,2015,v
BIT,722838,D,Bestått,2015,v
BIT,722838,D,Bestått,2016,v
BIT,722847,,Manglende øvinger,2017,v
BIT,723150,D,Bestått,2017,v
BIT,723388,F,Ikke bestått,2015,v
BIT,723388,F,Ikke bestått,2016,v
BIT,723388,,Ikke møtt,2016,s
BIT,723668,C,Bestått,2011,v
BIT,723683,D,Bestått,2011,v
BIT,723732,E,Bestått,2011,v
BIT,723735,,Manglende øvinger,2011,v
BIT,723735,,Manglende øvinger,2012,v
BIT,723735,,Manglende øvinger,2015,v
BIT,723735,,Manglende øvinger,2016,v
BIT,723748,E,Bestått,2011,v
BIT,723748,C,Bestått,2012,v
BIT,723765,F,Ikke bestått,2012,v
BIT,723765,F,Ikke bestått,2012,s
BIT,723765,F,Ikke bestått,2013,v
BIT,723765,,Ikke møtt,2013,s
BIT,723765,,Ikke møtt,2015,v
BIT,723765,,Ikke møtt,2016,v
BIT,723836,D,Bestått,2016,v
BIT,724056,,Ikke møtt,2016,v
BIT,724289,B,Bestått,2017,v
BIT,724683,C,Bestått,2011,v
BIT,724843,C,Bestått,2013,v
BIT,724923,,Manglende øvinger,2012,v
BIT,725155,C,Bestått,2015,v
BIT,725155,,Ikke møtt,2018,v
BIT,728898,D,Bestått,2012,v
BIT,728898,,Ikke møtt,2014,v
BIT,728959,E,Bestått,2012,v
BIT,728959,E,Bestått,2014,v
BIT,728959,,Ikke møtt,2017,v
BIT,729021,,Manglende øvinger,2012,v
BIT,729069,E,Bestått,2012,v
BIT,729069,E,Bestått,2014,v
BIT,729093,F,Ikke bestått,2012,v
BIT,729093,E,Bestått,2013,v
BIT,729104,,Manglende øvinger,2018,v
BIT,729168,C,Bestått,2015,v
BIT,729168,,Ikke møtt,2017,v
BIT,729187,C,Bestått,2013,v
BIT,729524,,Manglende øvinger,2012,v
BIT,729524,D,Bestått,2013,v
BIT,729543,,Gyldig fravær,2012,v
BIT,729543,,Manglende øvinger,2013,v
BIT,729543,,Manglende øvinger,2015,v
BIT,729543,,Manglende øvinger,2016,v
BIT,729550,E,Bestått,2012,v
BIT,729550,,Gyldig fravær,2015,v
BIT,729550,E,Bestått,2015,s
BIT,729551,C,Bestått,2012,v
BIT,729568,D,Bestått,2012,v
BIT,729570,E,Bestått,2012,v
BIT,729570,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,729570,C,Bestått,2014,s
BIT,729599,A,Bestått,2013,v
BIT,729660,D,Bestått,2012,v
BIT,729665,C,Bestått,2012,v
BIT,729791,,Manglende øvinger,2012,v
BIT,729791,F,Ikke bestått,2013,v
BIT,729791,F,Ikke bestått,2013,s
BIT,729791,E,Bestått,2014,v
BIT,729793,D,Bestått,2012,v
BIT,729798,F,Ikke bestått,2012,v
BIT,729798,E,Bestått,2013,v
BIT,729803,C,Bestått,2012,v
BIT,729804,C,Bestått,2012,v
BIT,729805,D,Bestått,2012,v
BIT,729812,C,Bestått,2012,v
BIT,730486,F,Ikke bestått,2012,v
BIT,730486,,Ikke møtt,2012,s
BIT,730486,D,Bestått,2013,v
BIT,730487,,Manglende øvinger,2012,v
BIT,730489,D,Bestått,2012,v
BIT,730489,D,Bestått,2015,v
BIT,730491,C,Bestått,2012,v
BIT,730493,F,Ikke bestått,2012,v
BIT,730493,F,Ikke bestått,2013,s
BIT,730493,F,Ikke bestått,2016,v
BIT,730494,B,Bestått,2013,v
BIT,730495,C,Bestått,2012,v
BIT,730496,D,Bestått,2012,v
BIT,730497,C,Bestått,2012,v
BIT,730499,F,Ikke bestått,2012,v
BIT,730499,D,Bestått,2012,s
BIT,730499,D,Bestått,2013,v
BIT,730501,C,Bestått,2012,v
BIT,730502,D,Bestått,2012,v
BIT,730503,,Manglende øvinger,2012,v
BIT,730504,C,Bestått,2012,v
BIT,730505,F,Ikke bestått,2012,v
BIT,730505,,Ikke møtt,2012,s
BIT,730506,C,Bestått,2012,v
BIT,730507,B,Bestått,2012,v
BIT,730509,,Manglende øvinger,2012,v
BIT,730511,C,Bestått,2012,v
BIT,730512,F,Ikke bestått,2012,v
BIT,730513,C,Bestått,2012,v
BIT,730514,C,Bestått,2012,v
BIT,730515,E,Bestått,2012,v
BIT,730516,D,Bestått,2012,v
BIT,730516,C,Bestått,2013,v
BIT,730517,,Manglende øvinger,2012,v
BIT,730517,E,Bestått,2013,v
BIT,730518,C,Bestått,2012,v
BIT,730518,A,Bestått,2014,v
BIT,730520,C,Bestått,2012,v
BIT,730521,F,Ikke bestått,2012,v
BIT,730521,,Ikke møtt,2012,s
BIT,730521,,Ikke møtt,2015,v
BIT,730522,A,Bestått,2013,v
BIT,730523,,Manglende øvinger,2012,v
BIT,730524,E,Bestått,2012,v
BIT,730524,D,Bestått,2014,v
BIT,730525,E,Bestått,2012,v
BIT,730525,E,Bestått,2014,v
BIT,730526,F,Ikke bestått,2012,v
BIT,730527,E,Bestått,2012,v
BIT,730528,,Trekk under eksamen (Avbrutt eksamen),2012,v
BIT,730528,,Ikke møtt,2013,v
BIT,730528,,Ikke møtt,2014,v
BIT,730529,C,Bestått,2012,v
BIT,730531,B,Bestått,2012,v
BIT,730534,,Manglende øvinger,2012,v
BIT,730535,C,Bestått,2012,v
BIT,730537,,Manglende øvinger,2012,v
BIT,730540,,Manglende øvinger,2012,v
BIT,730541,,Manglende øvinger,2012,v
BIT,730542,F,Ikke bestått,2012,v
BIT,730542,D,Bestått,2013,v
BIT,730543,C,Bestått,2012,v
BIT,730544,C,Bestått,2012,v
BIT,730545,F,Ikke bestått,2013,v
BIT,730545,,Trekk under eksamen (Avbrutt eksamen),2013,s
BIT,730546,B,Bestått,2012,v
BIT,730547,C,Bestått,2012,v
BIT,730548,B,Bestått,2012,v
BIT,730549,F,Ikke bestått,2012,v
BIT,730549,F,Ikke bestått,2013,v
BIT,730549,F,Ikke bestått,2014,s
BIT,730549,F,Ikke bestått,2015,v
BIT,730549,F,Ikke bestått,2016,v
BIT,730549,F,Ikke bestått,2017,v
BIT,730549,F,Ikke bestått,2018,v
BIT,730549,F,Ikke bestått,2018,s
BIT,730550,B,Bestått,2012,v
BIT,730550,C,Bestått,2015,v
BIT,730551,C,Bestått,2012,v
BIT,730552,F,Ikke bestått,2012,v
BIT,730552,F,Ikke bestått,2012,s
BIT,730552,F,Ikke bestått,2013,v
BIT,730552,E,Bestått,2014,v
BIT,730554,D,Bestått,2012,v
BIT,730554,D,Bestått,2016,v
BIT,730555,D,Bestått,2012,v
BIT,730556,A,Bestått,2012,v
BIT,730557,B,Bestått,2012,v
BIT,730558,,Manglende øvinger,2012,v
BIT,730558,D,Bestått,2013,v
BIT,730786,,Manglende øvinger,2013,v
BIT,730786,D,Bestått,2015,v
BIT,730786,,Legeattest,2016,v
BIT,730786,,Legeattest,2016,s
BIT,730786,C,Bestått,2017,v
BIT,730791,D,Bestått,2018,v
BIT,730799,C,Bestått,2013,v
BIT,731367,,Manglende øvinger,2014,v
BIT,731752,,Ikke møtt,2012,v
BIT,731771,A,Bestått,2012,v
BIT,731802,C,Bestått,2012,v
BIT,731817,C,Bestått,2013,v
BIT,731817,B,Bestått,2015,v
BIT,732271,,Manglende øvinger,2017,v
BIT,732370,C,Bestått,2012,v
BIT,732371,,Manglende øvinger,2012,v
BIT,732371,,Manglende øvinger,2013,v
BIT,732791,B,Bestått,2013,v
BIT,733793,D,Bestått,2013,v
BIT,733795,B,Bestått,2013,v
BIT,733803,F,Ikke bestått,2013,v
BIT,733803,,Ikke møtt,2013,s
BIT,734164,D,Bestått,2013,v
BIT,734164,C,Bestått,2014,v
BIT,734250,D,Bestått,2015,v
BIT,736379,C,Bestått,2013,v
BIT,736379,B,Bestått,2015,v
BIT,736700,E,Bestått,2014,v
BIT,737867,C,Bestått,2013,v
BIT,737994,B,Bestått,2013,v
BIT,738115,E,Bestått,2013,v
BIT,738705,B,Bestått,2013,v
BIT,738861,C,Bestått,2013,v
BIT,738861,A,Bestått,2016,v
BIT,739129,,Manglende øvinger,2014,v
BIT,739129,,Manglende øvinger,2015,v
BIT,739129,,Manglende øvinger,2017,v
BIT,739382,F,Ikke bestått,2013,v
BIT,739383,C,Bestått,2013,v
BIT,739384,C,Bestått,2013,v
BIT,739385,E,Bestått,2014,v
BIT,739388,B,Bestått,2013,v
BIT,739389,E,Bestått,2013,v
BIT,739390,B,Bestått,2013,v
BIT,739391,B,Bestått,2013,v
BIT,739392,C,Bestått,2013,v
BIT,739393,D,Bestått,2013,v
BIT,739394,C,Bestått,2013,v
BIT,739395,C,Bestått,2013,v
BIT,739397,D,Bestått,2013,v
BIT,739398,C,Bestått,2013,v
BIT,739399,D,Bestått,2013,v
BIT,739399,D,Bestått,2014,v
BIT,739400,B,Bestått,2013,v
BIT,739401,B,Bestått,2013,v
BIT,739402,C,Bestått,2013,v
BIT,739402,D,Bestått,2016,v
BIT,739403,C,Bestått,2013,v
BIT,739405,C,Bestått,2013,v
BIT,739407,D,Bestått,2013,v
BIT,739407,C,Bestått,2016,v
BIT,739408,E,Bestått,2013,v
BIT,739408,E,Bestått,2015,v
BIT,739409,E,Bestått,2013,v
BIT,739409,C,Bestått,2016,v
BIT,739410,C,Bestått,2013,v
BIT,739411,B,Bestått,2013,v
BIT,739413,C,Bestått,2013,v
BIT,739414,,Manglende øvinger,2013,v
BIT,739414,,Ikke møtt,2014,v
BIT,739414,,Ikke møtt,2015,v
BIT,739418,F,Ikke bestått,2013,v
BIT,739419,D,Bestått,2013,v
BIT,739419,,Ikke møtt,2017,v
BIT,739420,D,Bestått,2013,v
BIT,739420,,Trekk under eksamen (Avbrutt eksamen),2016,v
BIT,739422,E,Bestått,2013,v
BIT,739423,D,Bestått,2013,v
BIT,739423,,Legeattest,2018,v
BIT,739424,C,Bestått,2013,v
BIT,739425,B,Bestått,2013,v
BIT,739426,F,Ikke bestått,2014,v
BIT,739426,C,Bestått,2014,s
BIT,739427,,Manglende øvinger,2014,v
BIT,739428,F,Ikke bestått,2015,v
BIT,739428,D,Bestått,2016,v
BIT,739430,D,Bestått,2013,v
BIT,739430,B,Bestått,2016,v
BIT,739431,C,Bestått,2013,v
BIT,739432,F,Ikke bestått,2013,v
BIT,739432,F,Ikke bestått,2013,s
BIT,739433,C,Bestått,2013,v
BIT,739434,D,Bestått,2013,v
BIT,739435,C,Bestått,2013,v
BIT,739436,F,Ikke bestått,2014,v
BIT,739436,,Ikke møtt,2014,s
BIT,739436,F,Ikke bestått,2015,v
BIT,739436,F,Ikke bestått,2016,v
BIT,739436,,Ikke møtt,2016,s
BIT,739436,D,Bestått,2017,v
BIT,739437,F,Ikke bestått,2013,v
BIT,739438,C,Bestått,2013,v
BIT,739439,,Manglende øvinger,2013,v
BIT,739439,,Manglende øvinger,2015,v
BIT,739440,C,Bestått,2013,v
BIT,739440,B,Bestått,2016,v
BIT,739442,A,Bestått,2013,v
BIT,739443,,Manglende øvinger,2013,v
BIT,739444,B,Bestått,2013,v
BIT,739446,C,Bestått,2013,v
BIT,739446,C,Bestått,2015,v
BIT,739447,A,Bestått,2013,v
BIT,739448,F,Ikke bestått,2013,v
BIT,739448,,Ikke møtt,2013,s
BIT,739448,,Ikke møtt,2014,v
BIT,739448,,Ikke møtt,2015,v
BIT,739448,,Trekk under eksamen (Avbrutt eksamen),2016,v
BIT,739448,,Ikke møtt,2016,s
BIT,739448,F,Ikke bestått,2017,v
BIT,739448,E,Bestått,2017,s
BIT,739449,E,Bestått,2013,v
BIT,739449,C,Bestått,2017,v
BIT,739450,C,Bestått,2013,v
BIT,739452,C,Bestått,2013,v
BIT,739453,,Manglende øvinger,2013,v
BIT,739454,B,Bestått,2013,v
BIT,739455,A,Bestått,2013,v
BIT,739456,C,Bestått,2013,v
BIT,739457,,Manglende øvinger,2013,v
BIT,739458,E,Bestått,2013,v
BIT,739459,,Manglende øvinger,2013,v
BIT,739460,C,Bestått,2013,v
BIT,739461,C,Bestått,2013,v
BIT,739463,D,Bestått,2013,v
BIT,739463,D,Bestått,2014,v
BIT,739464,,Manglende øvinger,2013,v
BIT,739465,B,Bestått,2013,v
BIT,739466,E,Bestått,2013,v
BIT,739467,E,Bestått,2013,v
BIT,739467,C,Bestått,2015,v
BIT,739468,B,Bestått,2013,v
BIT,739469,,Ikke møtt,2013,v
BIT,739469,B,Bestått,2014,v
BIT,739471,D,Bestått,2013,v
BIT,739471,D,Bestått,2015,v
BIT,739472,F,Ikke bestått,2013,v
BIT,739472,F,Ikke bestått,2014,v
BIT,739472,,Trekk under eksamen (Avbrutt eksamen),2015,v
BIT,739472,,Ikke møtt,2015,s
BIT,739472,F,Ikke bestått,2016,v
BIT,739472,D,Bestått,2017,v
BIT,739473,B,Bestått,2013,v
BIT,739474,C,Bestått,2013,v
BIT,739476,F,Ikke bestått,2013,v
BIT,739476,E,Bestått,2013,s
BIT,739476,E,Bestått,2014,v
BIT,739477,D,Bestått,2013,v
BIT,739478,D,Bestått,2013,v
BIT,739479,,Manglende øvinger,2013,v
BIT,739480,,Manglende øvinger,2013,v
BIT,739481,C,Bestått,2013,v
BIT,739481,E,Bestått,2014,v
BIT,739482,C,Bestått,2013,v
BIT,739483,D,Bestått,2013,v
BIT,739486,,Gyldig fravær,2013,v
BIT,739486,,Trekk under eksamen (Avbrutt eksamen),2013,s
BIT,739487,D,Bestått,2018,v
BIT,739488,C,Bestått,2013,v
BIT,739488,,Ikke møtt,2018,v
BIT,739489,D,Bestått,2015,v
BIT,739489,C,Bestått,2016,v
BIT,739568,C,Bestått,2017,v
BIT,739757,,Manglende øvinger,2017,v
BIT,739757,D,Bestått,2018,v
BIT,739803,C,Bestått,2014,v
BIT,739888,C,Bestått,2015,v
BIT,740481,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,740481,,Trekk under eksamen (Avbrutt eksamen),2014,s
BIT,740873,F,Ikke bestått,2014,v
BIT,740873,D,Bestått,2016,v
BIT,740941,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,740941,E,Bestått,2016,v
BIT,740945,B,Bestått,2014,v
BIT,741089,C,Bestått,2014,v
BIT,741322,C,Bestått,2014,v
BIT,741322,F,Ikke bestått,2016,v
BIT,741380,,Manglende øvinger,2013,v
BIT,741380,C,Bestått,2017,v
BIT,741384,E,Bestått,2013,v
BIT,741401,F,Ikke bestått,2013,v
BIT,741401,E,Bestått,2014,v
BIT,741401,F,Ikke bestått,2017,v
BIT,742233,C,Bestått,2018,v
BIT,742239,D,Bestått,2018,v
BIT,742481,F,Ikke bestått,2017,v
BIT,742481,F,Ikke bestått,2017,s
BIT,743010,,Manglende øvinger,2013,v
BIT,745433,D,Bestått,2014,v
BIT,745675,D,Bestått,2014,v
BIT,745675,C,Bestått,2015,v
BIT,745739,,Manglende øvinger,2014,v
BIT,745766,,Manglende øvinger,2014,v
BIT,745848,B,Bestått,2014,v
BIT,746052,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,746052,E,Bestått,2014,s
BIT,746052,,Gyldig fravær,2015,v
BIT,746052,D,Bestått,2015,s
BIT,746052,,Ikke møtt,2017,v
BIT,746106,E,Bestått,2014,v
BIT,746106,C,Bestått,2015,v
BIT,746137,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,746137,E,Bestått,2014,s
BIT,746137,D,Bestått,2017,v
BIT,746194,,Manglende øvinger,2014,v
BIT,746224,D,Bestått,2014,v
BIT,746224,C,Bestått,2016,v
BIT,747522,,Manglende øvinger,2014,v
BIT,747522,,Manglende øvinger,2015,v
BIT,747549,E,Bestått,2014,v
BIT,747549,C,Bestått,2016,v
BIT,747565,F,Ikke bestått,2014,v
BIT,747565,D,Bestått,2014,s
BIT,747565,C,Bestått,2015,v
BIT,747573,B,Bestått,2014,v
BIT,748055,,Manglende øvinger,2015,v
BIT,748083,F,Ikke bestått,2015,v
BIT,748083,F,Ikke bestått,2016,v
BIT,748083,F,Ikke bestått,2017,v
BIT,748083,,Ikke møtt,2017,s
BIT,748256,F,Ikke bestått,2017,v
BIT,748256,E,Bestått,2018,v
BIT,748353,E,Bestått,2015,v
BIT,748353,,Ikke møtt,2018,v
BIT,748403,,Trekk under eksamen (Avbrutt eksamen),2016,v
BIT,748403,,Ikke møtt,2016,s
BIT,748403,,Trekk under eksamen (Avbrutt eksamen),2017,v
BIT,748403,,Ikke møtt,2017,s
BIT,748403,D,Bestått,2018,v
BIT,748412,,Manglende øvinger,2018,v
BIT,749023,C,Bestått,2015,v
BIT,749148,F,Ikke bestått,2015,v
BIT,749148,F,Ikke bestått,2015,s
BIT,749148,E,Bestått,2016,v
BIT,749148,,Ikke møtt,2017,v
BIT,749289,C,Bestått,2015,v
BIT,749310,C,Bestått,2018,v
BIT,749335,C,Bestått,2016,v
BIT,749374,F,Ikke bestått,2015,v
BIT,749374,E,Bestått,2015,s
BIT,749374,D,Bestått,2017,v
BIT,749408,C,Bestått,2014,v
BIT,749429,C,Bestått,2017,v
BIT,749498,F,Ikke bestått,2018,v
BIT,749513,C,Bestått,2015,v
BIT,749525,E,Bestått,2018,v
BIT,749747,F,Ikke bestått,2014,v
BIT,749747,E,Bestått,2015,v
BIT,749935,C,Bestått,2014,v
BIT,750536,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,750536,C,Bestått,2014,s
BIT,750571,B,Bestått,2014,v
BIT,751032,D,Bestått,2015,v
BIT,751261,B,Bestått,2017,v
BIT,751326,E,Bestått,2014,v
BIT,751326,B,Bestått,2016,v
BIT,751327,B,Bestått,2014,v
BIT,751328,,Ikke møtt,2014,v
BIT,751328,,Trekk under eksamen (Avbrutt eksamen),2016,v
BIT,751328,,Ikke møtt,2016,s
BIT,751329,,Manglende øvinger,2014,v
BIT,751330,C,Bestått,2014,v
BIT,751331,,Manglende øvinger,2014,v
BIT,751331,D,Bestått,2015,v
BIT,751332,C,Bestått,2014,v
BIT,751333,B,Bestått,2014,v
BIT,751334,,Manglende øvinger,2014,v
BIT,751334,,Manglende øvinger,2015,v
BIT,751335,F,Ikke bestått,2014,v
BIT,751335,E,Bestått,2016,v
BIT,751336,D,Bestått,2014,v
BIT,751337,F,Ikke bestått,2014,v
BIT,751337,F,Ikke bestått,2016,v
BIT,751337,E,Bestått,2016,s
BIT,751339,E,Bestått,2014,v
BIT,751340,,Trekk under eksamen (Avbrutt eksamen),2014,v
BIT,751340,F,Ikke bestått,2016,v
BIT,751340,F,Ikke bestått,2016,s
BIT,751340,F,Ikke bestått,2017,v
BIT,751340,F,Ikke bestått,2018,v
