studentnr,year,TDT4515_year,TDT4515_grade,TDT4515_attempts,TDT4515_failCount,TDT4515_passCount,IT1301_year,IT1301_grade,IT1301_attempts,IT1301_failCount,IT1301_passCount,TDT4510_year,TDT4510_grade,TDT4510_attempts,TDT4510_failCount,TDT4510_passCount,TMA4135_year,TMA4135_grade,TMA4135_attempts,TMA4135_failCount,TMA4135_passCount,TMA4130_year,TMA4130_grade,TMA4130_attempts,TMA4130_failCount,TMA4130_passCount,TDT4525_year,TDT4525_grade,TDT4525_attempts,TDT4525_failCount,TDT4525_passCount,TDT4520_year,TDT4520_grade,TDT4520_attempts,TDT4520_failCount,TDT4520_passCount,TMA4140_year,TMA4140_grade,TMA4140_attempts,TMA4140_failCount,TMA4140_passCount,IT3709_year,IT3709_grade,IT3709_attempts,IT3709_failCount,IT3709_passCount,TDT4186_year,TDT4186_grade,TDT4186_attempts,TDT4186_failCount,TDT4186_passCount,TDT4180_year,TDT4180_grade,TDT4180_attempts,TDT4180_failCount,TDT4180_passCount,IT3708_year,IT3708_grade,IT3708_attempts,IT3708_failCount,IT3708_passCount,TDT4506_year,TDT4506_grade,TDT4506_attempts,TDT4506_failCount,TDT4506_passCount,TDT4505_year,TDT4505_grade,TDT4505_attempts,TDT4505_failCount,TDT4505_passCount,TDT4500_year,TDT4500_grade,TDT4500_attempts,TDT4500_failCount,TDT4500_passCount,TDT4501_year,TDT4501_grade,TDT4501_attempts,TDT4501_failCount,TDT4501_passCount,TDT4195_year,TDT4195_grade,TDT4195_attempts,TDT4195_failCount,TDT4195_passCount,TDT4190_year,TDT4190_grade,TDT4190_attempts,TDT4190_failCount,TDT4190_passCount,IT3402_year,IT3402_grade,IT3402_attempts,IT3402_failCount,IT3402_passCount,TDT4310_year,TDT4310_grade,TDT4310_attempts,TDT4310_failCount,TDT4310_passCount,TDT4560_year,TDT4560_grade,TDT4560_attempts,TDT4560_failCount,TDT4560_passCount,MA0003_year,MA0003_grade,MA0003_attempts,MA0003_failCount,MA0003_passCount,MA0001_year,MA0001_grade,MA0001_attempts,MA0001_failCount,MA0001_passCount,IT1901_year,IT1901_grade,IT1901_attempts,IT1901_failCount,IT1901_passCount,MA1101_year,MA1101_grade,MA1101_attempts,MA1101_failCount,MA1101_passCount,TDT4205_year,TDT4205_grade,TDT4205_attempts,TDT4205_failCount,TDT4205_passCount,TDT4200_year,TDT4200_grade,TDT4200_attempts,TDT4200_failCount,TDT4200_passCount,TTM4185_year,TTM4185_grade,TTM4185_attempts,TTM4185_failCount,TTM4185_passCount,TDT4570_year,TDT4570_grade,TDT4570_attempts,TDT4570_failCount,TDT4570_passCount,TMA4100_year,TMA4100_grade,TMA4100_attempts,TMA4100_failCount,TMA4100_passCount,BI2041_year,BI2041_grade,BI2041_attempts,BI2041_failCount,BI2041_passCount,TMA4115_year,TMA4115_grade,TMA4115_attempts,TMA4115_failCount,TMA4115_passCount,TMA4110_year,TMA4110_grade,TMA4110_attempts,TMA4110_failCount,TMA4110_passCount,TDT4305_year,TDT4305_grade,TDT4305_attempts,TDT4305_failCount,TDT4305_passCount,TPD4142_year,TPD4142_grade,TPD4142_attempts,TPD4142_failCount,TPD4142_passCount,IT2302_year,IT2302_grade,IT2302_attempts,IT2302_failCount,IT2302_passCount,TDT4300_year,TDT4300_grade,TDT4300_attempts,TDT4300_failCount,TDT4300_passCount,TMA4125_year,TMA4125_grade,TMA4125_attempts,TMA4125_failCount,TMA4125_passCount,TMA4122_year,TMA4122_grade,TMA4122_attempts,TMA4122_failCount,TMA4122_passCount,TMA4245_year,TMA4245_grade,TMA4245_attempts,TMA4245_failCount,TMA4245_passCount,TMA4240_year,TMA4240_grade,TMA4240_attempts,TMA4240_failCount,TMA4240_passCount,EXPH0003_year,EXPH0003_grade,EXPH0003_attempts,EXPH0003_failCount,EXPH0003_passCount,EXPH0004_year,EXPH0004_grade,EXPH0004_attempts,EXPH0004_failCount,EXPH0004_passCount,TDT4235_year,TDT4235_grade,TDT4235_attempts,TDT4235_failCount,TDT4235_passCount,TDT4117_year,TDT4117_grade,TDT4117_attempts,TDT4117_failCount,TDT4117_passCount,EXPH0001_year,EXPH0001_grade,EXPH0001_attempts,EXPH0001_failCount,EXPH0001_passCount,TDT4237_year,TDT4237_grade,TDT4237_attempts,TDT4237_failCount,TDT4237_passCount,TDT4595_year,TDT4595_grade,TDT4595_attempts,TDT4595_failCount,TDT4595_passCount,TDT4110_year,TDT4110_grade,TDT4110_attempts,TDT4110_failCount,TDT4110_passCount,TDT4113_year,TDT4113_grade,TDT4113_attempts,TDT4113_failCount,TDT4113_passCount,TDT4597_year,TDT4597_grade,TDT4597_attempts,TDT4597_failCount,TDT4597_passCount,TDT4112_year,TDT4112_grade,TDT4112_attempts,TDT4112_failCount,TDT4112_passCount,TDT4120_year,TDT4120_grade,TDT4120_attempts,TDT4120_failCount,TDT4120_passCount,TDT4240_year,TDT4240_grade,TDT4240_attempts,TDT4240_failCount,TDT4240_passCount,EXPH0006_year,EXPH0006_grade,EXPH0006_attempts,EXPH0006_failCount,EXPH0006_passCount,TDT4125_year,TDT4125_grade,TDT4125_attempts,TDT4125_failCount,TDT4125_passCount,TDT4242_year,TDT4242_grade,TDT4242_attempts,TDT4242_failCount,TDT4242_passCount,TDT4245_year,TDT4245_grade,TDT4245_attempts,TDT4245_failCount,TDT4245_passCount,TDT4250_year,TDT4250_grade,TDT4250_attempts,TDT4250_failCount,TDT4250_passCount,TFE4101_year,TFE4101_grade,TFE4101_attempts,TFE4101_failCount,TFE4101_passCount,TDT4252_year,TDT4252_grade,TDT4252_attempts,TDT4252_failCount,TDT4252_passCount,TIØ4257_year,TIØ4257_grade,TIØ4257_attempts,TIØ4257_failCount,TIØ4257_passCount,IT2802_year,IT2802_grade,IT2802_attempts,IT2802_failCount,IT2802_passCount,IT2801_year,IT2801_grade,IT2801_attempts,IT2801_failCount,IT2801_passCount,TIØ4258_year,TIØ4258_grade,TIØ4258_attempts,TIØ4258_failCount,TIØ4258_passCount,IT2805_year,IT2805_grade,IT2805_attempts,IT2805_failCount,IT2805_passCount,TDT4215_year,TDT4215_grade,TDT4215_attempts,TDT4215_failCount,TDT4215_passCount,TDT4210_year,TDT4210_grade,TDT4210_attempts,TDT4210_failCount,TDT4210_passCount,TDT4575_year,TDT4575_grade,TDT4575_attempts,TDT4575_failCount,TDT4575_passCount,TDT4900_year,TDT4900_grade,TDT4900_attempts,TDT4900_failCount,TDT4900_passCount,IT2103_year,IT2103_grade,IT2103_attempts,IT2103_failCount,IT2103_passCount,TDT4225_year,TDT4225_grade,TDT4225_attempts,TDT4225_failCount,TDT4225_passCount,TDT4105_year,TDT4105_grade,TDT4105_attempts,TDT4105_failCount,TDT4105_passCount,TDT4100_year,TDT4100_grade,TDT4100_attempts,TDT4100_failCount,TDT4100_passCount,TDT4220_year,TDT4220_grade,TDT4220_attempts,TDT4220_failCount,TDT4220_passCount,TDT4102_year,TDT4102_grade,TDT4102_attempts,TDT4102_failCount,TDT4102_passCount,TDT4590_year,TDT4590_grade,TDT4590_attempts,TDT4590_failCount,TDT4590_passCount,TDT4230_year,TDT4230_grade,TDT4230_attempts,TDT4230_failCount,TDT4230_passCount,TDT4592_year,TDT4592_grade,TDT4592_attempts,TDT4592_failCount,TDT4592_passCount,IT2901_year,IT2901_grade,IT2901_attempts,IT2901_failCount,IT2901_passCount,TDT4275_year,TDT4275_grade,TDT4275_attempts,TDT4275_failCount,TDT4275_passCount,IDRI1005_year,IDRI1005_grade,IDRI1005_attempts,IDRI1005_failCount,IDRI1005_passCount,TDT4285_year,TDT4285_grade,TDT4285_attempts,TDT4285_failCount,TDT4285_passCount,IDRI1002_year,IDRI1002_grade,IDRI1002_attempts,IDRI1002_failCount,IDRI1002_passCount,TDT4160_year,TDT4160_grade,TDT4160_attempts,TDT4160_failCount,TDT4160_passCount,TDT4280_year,TDT4280_grade,TDT4280_attempts,TDT4280_failCount,TDT4280_passCount,IT1501_year,IT1501_grade,IT1501_attempts,IT1501_failCount,IT1501_passCount,IDRI1008_year,IDRI1008_grade,IDRI1008_attempts,IDRI1008_failCount,IDRI1008_passCount,MET1002_year,MET1002_grade,MET1002_attempts,MET1002_failCount,MET1002_passCount,IMT2243_year,IMT2243_grade,IMT2243_attempts,IMT2243_failCount,IMT2243_passCount,TDT4287_year,TDT4287_grade,TDT4287_attempts,TDT4287_failCount,TDT4287_passCount,TDT4165_year,TDT4165_grade,TDT4165_attempts,TDT4165_failCount,TDT4165_passCount,IT3010_year,IT3010_grade,IT3010_attempts,IT3010_failCount,IT3010_passCount,TDT4173_year,TDT4173_grade,TDT4173_attempts,TDT4173_failCount,TDT4173_passCount,TDT4175_year,TDT4175_grade,TDT4175_attempts,TDT4175_failCount,TDT4175_passCount,TDT4295_year,TDT4295_grade,TDT4295_attempts,TDT4295_failCount,TDT4295_passCount,TDT4290_year,TDT4290_grade,TDT4290_attempts,TDT4290_failCount,TDT4290_passCount,TDT4171_year,TDT4171_grade,TDT4171_attempts,TDT4171_failCount,TDT4171_passCount,IT2603_year,IT2603_grade,IT2603_attempts,IT2603_failCount,IT2603_passCount,TTM4100_year,TTM4100_grade,TTM4100_attempts,TTM4100_failCount,TTM4100_passCount,IT3105_year,IT3105_grade,IT3105_attempts,IT3105_failCount,IT3105_passCount,TDT4258_year,TDT4258_grade,TDT4258_attempts,TDT4258_failCount,TDT4258_passCount,TDT4137_year,TDT4137_grade,TDT4137_attempts,TDT4137_failCount,TDT4137_passCount,TDT4136_year,TDT4136_grade,TDT4136_attempts,TDT4136_failCount,TDT4136_passCount,TDT4257_year,TDT4257_grade,TDT4257_attempts,TDT4257_failCount,TDT4257_passCount,TDT4138_year,TDT4138_grade,TDT4138_attempts,TDT4138_failCount,TDT4138_passCount,TDT4255_year,TDT4255_grade,TDT4255_attempts,TDT4255_failCount,TDT4255_passCount,TDT4140_year,TDT4140_grade,TDT4140_attempts,TDT4140_failCount,TDT4140_passCount,TDT4260_year,TDT4260_grade,TDT4260_attempts,TDT4260_failCount,TDT4260_passCount,MA0301_year,MA0301_grade,MA0301_attempts,MA0301_failCount,MA0301_passCount,IT2810_year,IT2810_grade,IT2810_attempts,IT2810_failCount,IT2810_passCount,TFY4125_year,TFY4125_grade,TFY4125_attempts,TFY4125_failCount,TFY4125_passCount,IT1603_year,IT1603_grade,IT1603_attempts,IT1603_failCount,IT1603_passCount,IT1604_year,IT1604_grade,IT1604_attempts,IT1604_failCount,IT1604_passCount,TDT4265_year,TDT4265_grade,TDT4265_attempts,TDT4265_failCount,TDT4265_passCount,TDT4145_year,TDT4145_grade,TDT4145_attempts,TDT4145_failCount,TDT4145_passCount,TDT4150_year,TDT4150_grade,TDT4150_attempts,TDT4150_failCount,TDT4150_passCount,TDT4270_year,TDT4270_grade,TDT4270_attempts,TDT4270_failCount,TDT4270_passCount,MATTE1_year,MATTE1_grade,MATTE1_attempts,MATTE1_failCount,MATTE1_passCount,_year,_grade,_attempts,_failCount,_passCount,MATTE3_year,MATTE3_grade,MATTE3_attempts,MATTE3_failCount,MATTE3_passCount,KOGARK_year,KOGARK_grade,KOGARK_attempts,KOGARK_failCount,KOGARK_passCount,HIST_year,HIST_grade,HIST_attempts,HIST_failCount,HIST_passCount,KTN_year,KTN_grade,KTN_attempts,KTN_failCount,KTN_passCount,PU_year,PU_grade,PU_attempts,PU_failCount,PU_passCount,PROGLAB_year,PROGLAB_grade,PROGLAB_attempts,PROGLAB_failCount,PROGLAB_passCount,KOMTEK_year,KOMTEK_grade,KOMTEK_attempts,KOMTEK_failCount,KOMTEK_passCount,FYSIKK_year,FYSIKK_grade,FYSIKK_attempts,FYSIKK_failCount,FYSIKK_passCount,MASKINLÆRING_year,MASKINLÆRING_grade,MASKINLÆRING_attempts,MASKINLÆRING_failCount,MASKINLÆRING_passCount,MASKIN_year,MASKIN_grade,MASKIN_attempts,MASKIN_failCount,MASKIN_passCount,PROGSPRÅK_year,PROGSPRÅK_grade,PROGSPRÅK_attempts,PROGSPRÅK_failCount,PROGSPRÅK_passCount,EVOLUSJONADFERD_year,EVOLUSJONADFERD_grade,EVOLUSJONADFERD_attempts,EVOLUSJONADFERD_failCount,EVOLUSJONADFERD_passCount,KYB_year,KYB_grade,KYB_attempts,KYB_failCount,KYB_passCount,MEDIE_year,MEDIE_grade,MEDIE_attempts,MEDIE_failCount,MEDIE_passCount,HELSE_year,HELSE_grade,HELSE_attempts,HELSE_failCount,HELSE_passCount,NEVRO_year,NEVRO_grade,NEVRO_attempts,NEVRO_failCount,NEVRO_passCount,GJØVIK_year,GJØVIK_grade,GJØVIK_attempts,GJØVIK_failCount,GJØVIK_passCount,KJEMI_year,KJEMI_grade,KJEMI_attempts,KJEMI_failCount,KJEMI_passCount,WEBTEK_year,WEBTEK_grade,WEBTEK_attempts,WEBTEK_failCount,WEBTEK_passCount,MMI_year,MMI_grade,MMI_attempts,MMI_failCount,MMI_passCount,DATADIG_year,DATADIG_grade,DATADIG_attempts,DATADIG_failCount,DATADIG_passCount,IS_year,IS_grade,IS_attempts,IS_failCount,IS_passCount,IT_year,IT_grade,IT_attempts,IT_failCount,IT_passCount,AIT_year,AIT_grade,AIT_attempts,AIT_failCount,AIT_passCount,EIT_year,EIT_grade,EIT_attempts,EIT_failCount,EIT_passCount,DIGSAM_year,DIGSAM_grade,DIGSAM_attempts,DIGSAM_failCount,DIGSAM_passCount,BRUKERKURSA_year,BRUKERKURSA_grade,BRUKERKURSA_attempts,BRUKERKURSA_failCount,BRUKERKURSA_passCount,INFOGJEN_year,INFOGJEN_grade,INFOGJEN_attempts,INFOGJEN_failCount,INFOGJEN_passCount,DATABASE_year,DATABASE_grade,DATABASE_attempts,DATABASE_failCount,DATABASE_passCount,MEKANIKK_year,MEKANIKK_grade,MEKANIKK_attempts,MEKANIKK_failCount,MEKANIKK_passCount,KOMPTEK_year,KOMPTEK_grade,KOMPTEK_attempts,KOMPTEK_failCount,KOMPTEK_passCount,GEOGRAFI_year,GEOGRAFI_grade,GEOGRAFI_attempts,GEOGRAFI_failCount,GEOGRAFI_passCount,DIGSIK_year,DIGSIK_grade,DIGSIK_attempts,DIGSIK_failCount,DIGSIK_passCount,MAKSIN_year,MAKSIN_grade,MAKSIN_attempts,MAKSIN_failCount,MAKSIN_passCount,PLAB1_year,PLAB1_grade,PLAB1_attempts,PLAB1_failCount,PLAB1_passCount,PLAB2_year,PLAB2_grade,PLAB2_attempts,PLAB2_failCount,PLAB2_passCount,ALGDAT_year,ALGDAT_grade,ALGDAT_attempts,ALGDAT_failCount,ALGDAT_passCount,PROGSIK_year,PROGSIK_grade,PROGSIK_attempts,PROGSIK_failCount,PROGSIK_passCount,MASTER_year,MASTER_grade,MASTER_attempts,MASTER_failCount,MASTER_passCount,DESIGN_year,DESIGN_grade,DESIGN_attempts,DESIGN_failCount,DESIGN_passCount,PROSJEKT1_year,PROSJEKT1_grade,PROSJEKT1_attempts,PROSJEKT1_failCount,PROSJEKT1_passCount,MOLEKYLÆR MEDISIN_year,MOLEKYLÆR MEDISIN_grade,MOLEKYLÆR MEDISIN_attempts,MOLEKYLÆR MEDISIN_failCount,MOLEKYLÆR MEDISIN_passCount,INTELTEKST_year,INTELTEKST_grade,INTELTEKST_attempts,INTELTEKST_failCount,INTELTEKST_passCount,PROSJEKT2_year,PROSJEKT2_grade,PROSJEKT2_attempts,PROSJEKT2_failCount,PROSJEKT2_passCount,FILOSOFI_year,FILOSOFI_grade,FILOSOFI_attempts,FILOSOFI_failCount,FILOSOFI_passCount,SPRÅK_year,SPRÅK_grade,SPRÅK_attempts,SPRÅK_failCount,SPRÅK_passCount,KUNST_year,KUNST_grade,KUNST_attempts,KUNST_failCount,KUNST_passCount,KUNDEPROSJEKT_year,KUNDEPROSJEKT_grade,KUNDEPROSJEKT_attempts,KUNDEPROSJEKT_failCount,KUNDEPROSJEKT_passCount,KULT_year,KULT_grade,KULT_attempts,KULT_failCount,KULT_passCount,OPSYS_year,OPSYS_grade,OPSYS_attempts,OPSYS_failCount,OPSYS_passCount,SOSANT_year,SOSANT_grade,SOSANT_attempts,SOSANT_failCount,SOSANT_passCount,STATISTIKK_year,STATISTIKK_grade,STATISTIKK_attempts,STATISTIKK_failCount,STATISTIKK_passCount,NATURVITENSKAP_year,NATURVITENSKAP_grade,NATURVITENSKAP_attempts,NATURVITENSKAP_failCount,NATURVITENSKAP_passCount,ELSYS_year,ELSYS_grade,ELSYS_attempts,ELSYS_failCount,ELSYS_passCount,PSYKOLOGI_year,PSYKOLOGI_grade,PSYKOLOGI_attempts,PSYKOLOGI_failCount,PSYKOLOGI_passCount,METODERAI_year,METODERAI_grade,METODERAI_attempts,METODERAI_failCount,METODERAI_passCount,INDØK_year,INDØK_grade,INDØK_attempts,INDØK_failCount,INDØK_passCount,OO_year,OO_grade,OO_attempts,OO_failCount,OO_passCount,MASKINNÆR_year,MASKINNÆR_grade,MASKINNÆR_attempts,MASKINNÆR_failCount,MASKINNÆR_passCount,SOSIOLOGI_year,SOSIOLOGI_grade,SOSIOLOGI_attempts,SOSIOLOGI_failCount,SOSIOLOGI_passCount,ØKONOMI_year,ØKONOMI_grade,ØKONOMI_attempts,ØKONOMI_failCount,ØKONOMI_passCount,MATEMATIKK_year,MATEMATIKK_grade,MATEMATIKK_attempts,MATEMATIKK_failCount,MATEMATIKK_passCount,BIOLOGI_year,BIOLOGI_grade,BIOLOGI_attempts,BIOLOGI_failCount,BIOLOGI_passCount,MUSIKK_year,MUSIKK_grade,MUSIKK_attempts,MUSIKK_failCount,MUSIKK_passCount,WEBUTVILIKNG_year,WEBUTVILIKNG_grade,WEBUTVILIKNG_attempts,WEBUTVILIKNG_failCount,WEBUTVILIKNG_passCount,ITGK_year,ITGK_grade,ITGK_attempts,ITGK_failCount,ITGK_passCount,DISKMAT_year,DISKMAT_grade,DISKMAT_attempts,DISKMAT_failCount,DISKMAT_passCount,PED_year,PED_grade,PED_attempts,PED_failCount,PED_passCount,HMS_year,HMS_grade,HMS_attempts,HMS_failCount,HMS_passCount,MATTE4D_year,MATTE4D_grade,MATTE4D_attempts,MATTE4D_failCount,MATTE4D_passCount,DATAVAREHUS_year,DATAVAREHUS_grade,DATAVAREHUS_attempts,DATAVAREHUS_failCount,DATAVAREHUS_passCount,INTROAI_year,INTROAI_grade,INTROAI_attempts,INTROAI_failCount,INTROAI_passCount,EXPHIL_year,EXPHIL_grade,EXPHIL_attempts,EXPHIL_failCount,EXPHIL_passCount,TEKLED_year,TEKLED_grade,TEKLED_attempts,TEKLED_failCount,TEKLED_passCount,PROGARK_year,PROGARK_grade,PROGARK_attempts,PROGARK_failCount,PROGARK_passCount,KRETS_year,KRETS_grade,KRETS_attempts,KRETS_failCount,KRETS_passCount,ARKITEKT_year,ARKITEKT_grade,ARKITEKT_attempts,ARKITEKT_failCount,ARKITEKT_passCount
2899128,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5641969,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,0,2011,,1,0,0,,,,,,2011,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5687942,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6842188,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,3,1,0,1,,,,,,,,,,,2012,4,1,0,1,2011,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,4,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,2,1,0,1,,,,,,2011,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,3,1,0,1,,,,,,,,,,,,,,,,,,,,,2013,2,1,0,1,,,,,,,,,,,,,,,,2011,5,1,0,1,,,,,,,,,,,,,,,,2011,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,1,2011,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,1,0,1,,,,,,2011,,1,0,1,2011,,1,0,1,,,,,,,,,,
